timestamp,ASL_HAND_COMPLETE_rx,ASL_HAND_COMPLETE_ry,ASL_HAND_COMPLETE_rz,f_index.01.R_rx,f_index.01.R_ry,f_index.01.R_rz,f_index.02.R_rx,f_index.02.R_ry,f_index.02.R_rz,f_index.03.R_rx,f_index.03.R_ry,f_index.03.R_rz,f_index.03.R_end_rx,f_index.03.R_end_ry,f_index.03.R_end_rz,f_middle.01.R_rx,f_middle.01.R_ry,f_middle.01.R_rz,f_middle.02.R_rx,f_middle.02.R_ry,f_middle.02.R_rz,f_middle.03.R_rx,f_middle.03.R_ry,f_middle.03.R_rz,f_middle.03.R_end_rx,f_middle.03.R_end_ry,f_middle.03.R_end_rz,f_pinky.01.R_rx,f_pinky.01.R_ry,f_pinky.01.R_rz,f_pinky.02.R_rx,f_pinky.02.R_ry,f_pinky.02.R_rz,f_pinky.03.R_rx,f_pinky.03.R_ry,f_pinky.03.R_rz,f_pinky.03.R_end_rx,f_pinky.03.R_end_ry,f_pinky.03.R_end_rz,f_ring.01.R_rx,f_ring.01.R_ry,f_ring.01.R_rz,f_ring.02.R_rx,f_ring.02.R_ry,f_ring.02.R_rz,f_ring.03.R_rx,f_ring.03.R_ry,f_ring.03.R_rz,f_ring.03.R_end_rx,f_ring.03.R_end_ry,f_ring.03.R_end_rz,forearm.R_rx,forearm.R_ry,forearm.R_rz,hand.R_rx,hand.R_ry,hand.R_rz,metarig.001_rx,metarig.001_ry,metarig.001_rz,palm.01.R_rx,palm.01.R_ry,palm.01.R_rz,palm.02.R_rx,palm.02.R_ry,palm.02.R_rz,palm.03.R_rx,palm.03.R_ry,palm.03.R_rz,palm.04.R_rx,palm.04.R_ry,palm.04.R_rz,thumb.01.R_rx,thumb.01.R_ry,thumb.01.R_rz,thumb.02.R_rx,thumb.02.R_ry,thumb.02.R_rz,thumb.03.R_rx,thumb.03.R_ry,thumb.03.R_rz,thumb.03.R_end_rx,thumb.03.R_end_ry,thumb.03.R_end_rz
0.1500,355.1233,355.1732,1.7282,359.5168,8.4838,358.8260,359.3277,359.5314,354.6060,13.3201,1.6855,1.2689,0.0000,0.0000,0.0000,356.2982,2.0204,353.4532,7.6078,356.5923,357.2007,10.0513,356.6663,355.4708,0.0000,0.0000,0.0000,355.5618,339.9495,350.3511,11.7784,359.9400,354.9096,1.5218,355.6673,359.8808,0.0000,0.0000,0.0000,3.2298,353.1220,352.0376,4.5152,358.8613,359.6967,8.9449,352.6420,356.6465,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.1667,354.9118,355.2645,1.9828,359.4650,8.4849,358.8260,359.2761,359.5363,354.6059,13.2683,1.6843,1.2686,0.0000,0.0000,0.0000,356.3325,2.0165,353.4534,7.6422,356.5906,357.2004,10.0869,356.6634,355.4703,0.0000,0.0000,0.0000,355.5175,339.9571,350.3505,11.7210,359.9452,354.9106,1.4642,355.6674,359.8808,0.0000,0.0000,0.0000,3.1906,353.1275,352.0379,4.4757,358.8615,359.6968,8.9054,352.6444,356.6469,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.1833,354.6973,355.3798,2.3403,359.4785,8.4846,358.8260,359.2895,359.5350,354.6059,13.2817,1.6846,1.2687,0.0000,0.0000,0.0000,356.2958,2.0207,353.4532,7.6053,356.5924,357.2007,10.0506,356.6664,355.4708,0.0000,0.0000,0.0000,355.4721,339.9648,350.3499,11.6774,359.9492,354.9114,1.4203,355.6675,359.8808,0.0000,0.0000,0.0000,3.1586,353.1320,352.0381,4.4434,358.8617,359.6968,8.8731,352.6463,356.6472,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2000,354.3176,355.6665,3.2665,359.4685,8.4848,358.8260,359.2796,359.5359,354.6059,13.2718,1.6844,1.2686,0.0000,0.0000,0.0000,356.2734,2.0233,353.4530,7.5828,356.5935,357.2008,10.0286,356.6681,355.4711,0.0000,0.0000,0.0000,355.4745,339.9644,350.3499,11.6816,359.9488,354.9114,1.4246,355.6675,359.8808,0.0000,0.0000,0.0000,3.0894,353.1416,352.0387,4.3735,358.8621,359.6968,8.8034,352.6504,356.6478,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2167,354.3176,355.6665,3.2665,359.4685,8.4848,358.8260,359.2796,359.5359,354.6059,13.2718,1.6844,1.2686,0.0000,0.0000,0.0000,356.2734,2.0233,353.4530,7.5828,356.5935,357.2008,10.0286,356.6681,355.4711,0.0000,0.0000,0.0000,355.4745,339.9644,350.3499,11.6816,359.9488,354.9114,1.4246,355.6675,359.8808,0.0000,0.0000,0.0000,3.0894,353.1416,352.0387,4.3735,358.8621,359.6968,8.8034,352.6504,356.6478,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2333,354.0512,355.9585,4.3142,359.4655,8.4849,358.8260,359.2766,359.5362,354.6059,13.2687,1.6843,1.2686,0.0000,0.0000,0.0000,356.3369,2.0160,353.4535,7.6466,356.5903,357.2004,10.0926,356.6630,355.4702,0.0000,0.0000,0.0000,355.5882,339.9450,350.3514,11.7975,359.9382,354.9092,1.5409,355.6672,359.8808,0.0000,0.0000,0.0000,3.0915,353.1414,352.0386,4.3756,358.8621,359.6968,8.8055,352.6503,356.6478,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2500,353.8402,356.2863,5.6844,359.4657,8.4849,358.8260,359.2768,359.5362,354.6059,13.2689,1.6843,1.2686,0.0000,0.0000,0.0000,356.3860,2.0103,353.4538,7.6960,356.5879,357.2001,10.1422,356.6590,355.4695,0.0000,0.0000,0.0000,355.6259,339.9386,350.3520,11.8366,359.9347,354.9085,1.5802,355.6671,359.8808,0.0000,0.0000,0.0000,3.0782,353.1432,352.0387,4.3622,358.8622,359.6968,8.7921,352.6511,356.6479,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2667,353.6621,356.6967,7.6451,359.4594,8.4850,358.8260,359.2705,359.5368,354.6059,13.2627,1.6842,1.2686,0.0000,0.0000,0.0000,356.3825,2.0107,353.4538,7.6925,356.5881,357.2001,10.1389,356.6592,355.4696,0.0000,0.0000,0.0000,355.5651,339.9490,350.3512,11.7765,359.9402,354.9096,1.5198,355.6673,359.8808,0.0000,0.0000,0.0000,3.0495,353.1472,352.0389,4.3333,358.8623,359.6968,8.7632,352.6528,356.6482,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.2833,353.4105,357.2909,10.7999,359.4759,8.4847,358.8260,359.2870,359.5352,354.6059,13.2792,1.6846,1.2687,0.0000,0.0000,0.0000,356.3256,2.0173,353.4534,7.6352,356.5909,357.2005,10.0821,356.6638,355.4704,0.0000,0.0000,0.0000,355.5387,339.9535,350.3508,11.7510,359.9425,354.9101,1.4942,355.6673,359.8808,0.0000,0.0000,0.0000,3.0505,353.1471,352.0389,4.3342,358.8623,359.6968,8.7642,352.6527,356.6482,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
0.3000,353.1306,357.7561,13.4969,359.4685,8.4848,358.8260,359.2796,359.5359,354.6059,13.2718,1.6844,1.2686,0.0000,0.0000,0.0000,356.2885,2.0215,353.4531,7.5980,356.5927,357.2007,10.0451,356.6668,355.4709,0.0000,0.0000,0.0000,355.5697,339.9482,350.3512,11.7830,359.9396,354.9095,1.5263,355.6673,359.8808,0.0000,0.0000,0.0000,3.1007,353.1401,352.0386,4.3849,358.8620,359.6968,8.8148,352.6497,356.6477,0.0000,0.0000,0.0000,353.8483,271.2219,272.8675,4.7591,91.8054,356.3259,270.0198,0.0000,0.0000,0.0361,355.1530,12.1235,359.2429,357.2920,5.0783,355.2164,0.2570,358.4318,357.2204,6.4105,347.2666,318.9646,42.3229,38.7801,21.5358,22.8842,0.8752,5.0099,4.0165,359.4105,0.0000,0.0000,0.0000
